$V_a\pm0.1$,$I\pm0.0005$,$V_a\pm0.1$ (1),$I\pm0.0003$ (1),$V_a\pm0.1$ (2),$I\pm0.0003$ (2)
V,nA,V,nA,V,nA
0,0.0001 ,10.0 ,-0.0259 ,30.5 ,-0.0857 
1,0.0001 ,10.5 ,-0.0365 ,31.0 ,-0.0833 
2,0.0001 ,11.0 ,-0.0341 ,31.5 ,-0.0750 
3,0.0000 ,11.5 ,-0.0160 ,32.0 ,-0.0684 
4,0.0000 ,12.0 ,-0.0074 ,32.5 ,-0.0635 
5,-0.0009 ,12.1 ,-0.0075 ,32.6 ,-0.0634
6,-0.0028 ,12.2 ,-0.0068 ,32.7 ,-0.0633 
7,-0.0012 ,12.3 ,-0.0067 ,32.8 ,-0.0630 
8,-0.0026 ,12.4 ,-0.0067 ,32.9 ,-0.0621 
9,-0.0092 ,12.5 ,-0.0066 ,33.0 ,-0.0617 
10,-0.0250 ,12.6 ,-0.0069 ,33.1 ,-0.0615 
11,-0.0334 ,12.7 ,-0.0070 ,33.2 ,-0.0617 
12,-0.0071 ,12.8 ,-0.0073 ,33.3 ,-0.0633 
13,-0.0091 ,12.9 ,-0.0081 ,33.4 ,-0.0643 
14,-0.0217 ,13.0 ,-0.0090 ,33.5 ,-0.0615 
15,-0.0475 ,13.5 ,-0.0134 ,33.6 ,-0.0623 
16,-0.0493 ,14.0 ,-0.0201 ,33.7 ,-0.0635 
17,-0.0177 ,14.5 ,-0.0302 ,33.8 ,-0.0655 
18,-0.0192 ,15.0 ,-0.0428 ,33.9 ,-0.0662 
19,-0.0373 ,,,34.0 ,-0.0690 
20,-0.0696 ,,,34.5 ,-0.0770 
21,-0.0684 ,,,35.0 ,-0.0867 
22,-0.0327 ,,,35.5 ,-0.0930 
23,-0.0300 ,,,36.0 ,-0.0940 
24,-0.0475 ,,,,
25,-0.0778 ,,,,
26,-0.0806 ,,,,
27,-0.0498 ,,,,
28,-0.0442 ,,,,
29,-0.0585 ,,,,
30,-0.0855 ,,,,
31,-0.0900 ,,,,
32,-0.0714 ,,,,
33,-0.0640 ,,,,
34,-0.0726 ,,,,
35,-0.0950 ,,,,
36,-0.1053 ,,,,
37,-0.0965 ,,,,
38,-0.0723 ,,,,
39,-0.0766 ,,,,
40,-0.0922 ,,,,